driver_encoded,team_encoded,race_name_encoded,year,driver_competitiveness,team_competitiveness,points_last_3,session_air_temp,session_track_temp,session_humidity,session_rainfall,heat_index,weather_difficulty_index,circuit_type_encoded,driver_avg_points_in_rain,driver_avg_points_in_dry,driver_rain_dry_delta,target_position
1,2,13,2022,3.9764561068032,4.5461145599999995,4.666666666666667,27.73469387755102,43.138775510204084,33.14965986394558,0,0.35581360544217683,0.3314965986394558,1,3.3333333333333335,2.8181818181818183,0.5151515151515151,19
6,8,22,2024,11.413274157061306,19.039698734179836,11.666666666666666,24.132467532467533,41.096103896103905,63.44155844155844,1,0.2957376623376624,3.6344155844155845,0,9.0,9.823529411764707,-0.8235294117647065,3
5,2,9,2023,6.123529419455501,7.907212597213653,5.0,16.791866028708135,24.94114832535885,70.77511961722487,1,0.17974066985645934,3.7077511961722487,0,1.8888888888888888,1.4761904761904763,0.41269841269841256,3
13,7,2,2024,10.520127211631454,19.132358609818585,12.333333333333334,28.164102564102567,42.68846153846154,47.37179487179487,0,0.34236666666666665,0.4737179487179487,0,9.166666666666666,7.864864864864865,1.3018018018018012,20
11,5,5,2022,0.378332356608,3.4368,0.0,21.78717948717949,36.08397435897436,40.51923076923077,0,0.2845397435897436,0.4051923076923077,1,0.0,1.8,-1.8,16
6,8,2,2022,12.733085184,20.88,14.0,21.039583333333333,34.940625,33.270833333333336,0,0.2827291666666667,0.3327083333333334,0,6.0,10.0,-4.0,3
3,0,1,2022,4.4799999999999995,1.6,4.0,26.69743589743589,37.40833333333334,43.65384615384615,0,0.3161641025641025,0.43653846153846154,2,0.0,4.0,-4.0,8
22,1,2,2022,0.23099904000000004,0.48,0.0,21.039583333333333,34.940625,33.270833333333336,0,0.2827291666666667,0.3327083333333334,0,0.0,1.5714285714285714,-1.5714285714285714,16
1,3,23,2023,7.3306663497990066,15.797897256995016,5.0,27.34666666666667,50.376666666666665,22.477777777777778,1,0.3931088888888889,3.2247777777777777,0,8.2,5.518518518518518,2.681481481481481,3
15,10,2,2022,6.872306687999999,26.32,6.333333333333333,21.039583333333333,34.940625,33.270833333333336,0,0.2827291666666667,0.3327083333333334,0,18.5,10.75,7.75,20
3,6,18,2024,0.0038141796668589856,0.0,0.0,21.596499999999995,46.318000000000005,63.99,0,0.30086100000000005,0.6399,2,0.8,1.3714285714285714,-0.5714285714285714,13
